obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence,corridor_file
2026-07-27 02:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,27.0,39.0,531.0,368.0,0.3076923076923077,0.0,1.0,tt_sudirman
2026-07-27 02:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0,tt_tangerang
2026-07-27 02:00:00+00:00,TB Simatupang,Jabodetabek,29.0,70.0,852.0,353.0,0.5857142857142856,0.0,1.0,tt_tbsimatupang
2026-07-27 02:00:00+00:00,Jl. MH Thamrin,Jabodetabek,17.0,23.0,338.0,249.0,0.2608695652173913,0.0,1.0,tt_thamrin
2026-07-27 03:00:00+00:00,Tol Jakarta-Cikampek,Jabodetabek,18.0,18.0,1072.0,1072.0,0.0,0.0,1.0,tt_bekasi
2026-07-27 03:00:00+00:00,Tol Jagorawi (Bogor),Jabodetabek,45.0,45.0,658.0,658.0,0.0,0.0,1.0,tt_bogor
2026-07-27 03:00:00+00:00,BSD/Serpong,Jabodetabek,34.0,34.0,165.0,165.0,0.0,0.0,1.0,tt_bsd
2026-07-27 03:00:00+00:00,Cawang interchange,Jabodetabek,22.0,43.0,122.0,62.0,0.4883720930232558,0.0,1.0,tt_cawang
2026-07-27 03:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0,tt_depok
2026-07-27 03:00:00+00:00,Jl. Gatot Subroto,Jabodetabek,45.0,45.0,52.0,52.0,0.0,0.0,1.0,tt_gatsu
2026-07-27 03:00:00+00:00,Grogol,Jabodetabek,27.0,40.0,451.0,304.0,0.3249999999999999,0.0,0.998509,tt_grogol
2026-07-27 03:00:00+00:00,Tol Kebon Jeruk,Jabodetabek,25.0,35.0,1622.0,1158.0,0.2857142857142857,0.0,1.0,tt_kebonjeruk
2026-07-27 03:00:00+00:00,Kelapa Gading,Jabodetabek,24.0,29.0,1280.0,1059.0,0.1724137931034483,0.0,0.996962,tt_kelapagading
2026-07-27 03:00:00+00:00,Jl. HR Rasuna Said,Jabodetabek,16.0,21.0,273.0,208.0,0.2380952380952381,0.0,0.99,tt_kuningan
2026-07-27 03:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,27.0,38.0,531.0,377.0,0.2894736842105263,0.0,1.0,tt_sudirman
2026-07-27 03:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,37.0,48.0,250.0,193.0,0.2291666666666666,0.0,1.0,tt_tangerang
2026-07-27 03:00:00+00:00,TB Simatupang,Jabodetabek,34.0,72.0,727.0,343.0,0.5277777777777778,0.0,1.0,tt_tbsimatupang
2026-07-27 03:00:00+00:00,Jl. MH Thamrin,Jabodetabek,16.0,22.0,359.0,261.0,0.2727272727272727,0.0,1.0,tt_thamrin
2026-07-27 04:00:00+00:00,Tol Jakarta-Cikampek,Jabodetabek,18.0,18.0,1072.0,1072.0,0.0,0.0,1.0,tt_bekasi
2026-07-27 04:00:00+00:00,Tol Jagorawi (Bogor),Jabodetabek,36.0,44.0,823.0,673.0,0.1818181818181817,0.0,1.0,tt_bogor
2026-07-27 04:00:00+00:00,BSD/Serpong,Jabodetabek,29.0,34.0,193.0,165.0,0.1470588235294118,0.0,1.0,tt_bsd
2026-07-27 04:00:00+00:00,Cawang interchange,Jabodetabek,17.0,41.0,158.0,65.0,0.5853658536585367,0.0,1.0,tt_cawang
2026-07-27 04:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.1612903225806451,0.0,0.965876,tt_depok
2026-07-27 04:00:00+00:00,Jl. Gatot Subroto,Jabodetabek,45.0,45.0,52.0,52.0,0.0,0.0,1.0,tt_gatsu
2026-07-27 04:00:00+00:00,Grogol,Jabodetabek,33.0,40.0,369.0,304.0,0.175,0.0,0.997641,tt_grogol
2026-07-27 04:00:00+00:00,Tol Kebon Jeruk,Jabodetabek,25.0,36.0,1622.0,1126.0,0.3055555555555556,0.0,1.0,tt_kebonjeruk
2026-07-27 04:00:00+00:00,Kelapa Gading,Jabodetabek,24.0,29.0,1280.0,1059.0,0.1724137931034483,0.0,0.998549,tt_kelapagading
2026-07-27 04:00:00+00:00,Jl. HR Rasuna Said,Jabodetabek,21.0,21.0,208.0,208.0,0.0,0.0,1.0,tt_kuningan
2026-07-27 04:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,29.0,38.0,494.0,377.0,0.2368421052631578,0.0,1.0,tt_sudirman
2026-07-27 04:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,37.0,48.0,250.0,193.0,0.2291666666666666,0.0,1.0,tt_tangerang
2026-07-27 04:00:00+00:00,TB Simatupang,Jabodetabek,29.0,71.0,852.0,348.0,0.5915492957746479,0.0,1.0,tt_tbsimatupang
2026-07-27 04:00:00+00:00,Jl. MH Thamrin,Jabodetabek,22.0,22.0,261.0,261.0,0.0,0.0,1.0,tt_thamrin
2026-07-27 06:00:00+00:00,Tol Jakarta-Cikampek,Jabodetabek,18.0,18.0,1072.0,1072.0,0.0,0.0,1.0,tt_bekasi
2026-07-27 06:00:00+00:00,Tol Jagorawi (Bogor),Jabodetabek,38.0,45.0,779.0,658.0,0.1555555555555555,0.0,1.0,tt_bogor
2026-07-27 06:00:00+00:00,BSD/Serpong,Jabodetabek,34.0,34.0,165.0,165.0,0.0,0.0,1.0,tt_bsd
2026-07-27 06:00:00+00:00,Cawang interchange,Jabodetabek,31.0,42.0,87.0,64.0,0.2619047619047618,0.0,1.0,tt_cawang
2026-07-27 06:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.1612903225806451,0.0,0.954199,tt_depok
2026-07-27 06:00:00+00:00,Jl. Gatot Subroto,Jabodetabek,45.0,45.0,52.0,52.0,0.0,0.0,1.0,tt_gatsu
2026-07-27 06:00:00+00:00,Grogol,Jabodetabek,30.0,39.0,406.0,312.0,0.2307692307692307,0.0,0.996147,tt_grogol
2026-07-27 06:00:00+00:00,Tol Kebon Jeruk,Jabodetabek,27.0,36.0,1501.0,1126.0,0.25,0.0,1.0,tt_kebonjeruk
2026-07-27 06:00:00+00:00,Kelapa Gading,Jabodetabek,23.0,29.0,1335.0,1059.0,0.2068965517241379,0.0,0.997589,tt_kelapagading
2026-07-27 06:00:00+00:00,Jl. HR Rasuna Said,Jabodetabek,21.0,21.0,208.0,208.0,0.0,0.0,1.0,tt_kuningan
2026-07-27 06:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,28.0,39.0,512.0,368.0,0.282051282051282,0.0,1.0,tt_sudirman
2026-07-27 06:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,37.0,48.0,250.0,193.0,0.2291666666666666,0.0,1.0,tt_tangerang
2026-07-27 06:00:00+00:00,TB Simatupang,Jabodetabek,72.0,72.0,343.0,343.0,0.0,0.0,1.0,tt_tbsimatupang
2026-07-27 06:00:00+00:00,Jl. MH Thamrin,Jabodetabek,18.0,24.0,319.0,239.0,0.25,0.0,1.0,tt_thamrin
2026-07-27 07:00:00+00:00,Tol Jakarta-Cikampek,Jabodetabek,18.0,18.0,1072.0,1072.0,0.0,0.0,1.0,tt_bekasi
2026-07-27 07:00:00+00:00,Tol Jagorawi (Bogor),Jabodetabek,36.0,45.0,823.0,658.0,0.1999999999999999,0.0,1.0,tt_bogor
2026-07-27 07:00:00+00:00,BSD/Serpong,Jabodetabek,29.0,35.0,193.0,160.0,0.1714285714285713,0.0,1.0,tt_bsd
2026-07-27 07:00:00+00:00,Cawang interchange,Jabodetabek,43.0,43.0,62.0,62.0,0.0,0.0,1.0,tt_cawang
2026-07-27 07:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0,tt_depok
2026-07-27 07:00:00+00:00,Jl. Gatot Subroto,Jabodetabek,45.0,45.0,52.0,52.0,0.0,0.0,1.0,tt_gatsu
2026-07-27 07:00:00+00:00,Grogol,Jabodetabek,32.0,40.0,381.0,304.0,0.1999999999999999,0.0,1.0,tt_grogol
2026-07-27 07:00:00+00:00,Tol Kebon Jeruk,Jabodetabek,20.0,36.0,2027.0,1126.0,0.4444444444444444,0.0,1.0,tt_kebonjeruk
2026-07-27 07:00:00+00:00,Kelapa Gading,Jabodetabek,21.0,29.0,1463.0,1059.0,0.2758620689655172,0.0,0.997931,tt_kelapagading
2026-07-27 07:00:00+00:00,Jl. HR Rasuna Said,Jabodetabek,21.0,21.0,208.0,208.0,0.0,0.0,1.0,tt_kuningan
2026-07-27 07:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,23.0,39.0,624.0,368.0,0.4102564102564102,0.0,1.0,tt_sudirman
2026-07-27 07:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0,tt_tangerang
2026-07-27 07:00:00+00:00,TB Simatupang,Jabodetabek,72.0,72.0,343.0,343.0,0.0,0.0,1.0,tt_tbsimatupang
2026-07-27 07:00:00+00:00,Jl. MH Thamrin,Jabodetabek,14.0,23.0,410.0,249.0,0.3913043478260869,0.0,1.0,tt_thamrin
2026-07-27 08:00:00+00:00,Tol Jakarta-Cikampek,Jabodetabek,13.0,17.0,1484.0,1135.0,0.2352941176470588,0.0,0.955543,tt_bekasi
2026-07-27 08:00:00+00:00,Tol Jagorawi (Bogor),Jabodetabek,35.0,45.0,846.0,658.0,0.2222222222222222,0.0,0.999197,tt_bogor
2026-07-27 08:00:00+00:00,BSD/Serpong,Jabodetabek,34.0,34.0,165.0,165.0,0.0,0.0,1.0,tt_bsd
2026-07-27 08:00:00+00:00,Cawang interchange,Jabodetabek,33.0,42.0,81.0,64.0,0.2142857142857143,0.0,1.0,tt_cawang
2026-07-27 08:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,31.0,31.0,1778.0,1778.0,0.0,0.0,1.0,tt_depok
2026-07-27 08:00:00+00:00,Jl. Gatot Subroto,Jabodetabek,37.0,44.0,63.0,53.0,0.159090909090909,0.0,1.0,tt_gatsu
2026-07-27 08:00:00+00:00,Grogol,Jabodetabek,31.0,40.0,393.0,304.0,0.2249999999999999,0.0,1.0,tt_grogol
2026-07-27 08:00:00+00:00,Tol Kebon Jeruk,Jabodetabek,21.0,36.0,1931.0,1126.0,0.4166666666666666,0.0,1.0,tt_kebonjeruk
2026-07-27 08:00:00+00:00,Kelapa Gading,Jabodetabek,21.0,29.0,1463.0,1059.0,0.2758620689655172,0.0,1.0,tt_kelapagading
2026-07-27 08:00:00+00:00,Jl. HR Rasuna Said,Jabodetabek,21.0,21.0,208.0,208.0,0.0,0.0,1.0,tt_kuningan
2026-07-27 08:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,22.0,39.0,652.0,368.0,0.4358974358974359,0.0,1.0,tt_sudirman
2026-07-27 08:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,37.0,47.0,250.0,197.0,0.2127659574468084,0.0,1.0,tt_tangerang
2026-07-27 08:00:00+00:00,TB Simatupang,Jabodetabek,47.0,72.0,526.0,343.0,0.3472222222222222,0.0,1.0,tt_tbsimatupang
2026-07-27 08:00:00+00:00,Jl. MH Thamrin,Jabodetabek,14.0,24.0,410.0,239.0,0.4166666666666666,0.0,1.0,tt_thamrin
2026-07-27 09:00:00+00:00,Tol Jakarta-Cikampek,Jabodetabek,18.0,18.0,1072.0,1072.0,0.0,0.0,1.0,tt_bekasi
2026-07-27 09:00:00+00:00,Tol Jagorawi (Bogor),Jabodetabek,33.0,45.0,897.0,658.0,0.2666666666666667,0.0,1.0,tt_bogor
2026-07-27 09:00:00+00:00,BSD/Serpong,Jabodetabek,34.0,34.0,165.0,165.0,0.0,0.0,1.0,tt_bsd
2026-07-27 09:00:00+00:00,Cawang interchange,Jabodetabek,34.0,42.0,79.0,64.0,0.1904761904761904,0.0,1.0,tt_cawang
2026-07-27 09:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,25.0,31.0,2205.0,1778.0,0.1935483870967742,0.0,0.977907,tt_depok
2026-07-27 09:00:00+00:00,Jl. Gatot Subroto,Jabodetabek,45.0,45.0,52.0,52.0,0.0,0.0,1.0,tt_gatsu
2026-07-27 09:00:00+00:00,Grogol,Jabodetabek,30.0,40.0,406.0,304.0,0.25,0.0,1.0,tt_grogol
2026-07-27 09:00:00+00:00,Tol Kebon Jeruk,Jabodetabek,23.0,35.0,1763.0,1158.0,0.3428571428571428,0.0,1.0,tt_kebonjeruk
2026-07-27 09:00:00+00:00,Kelapa Gading,Jabodetabek,22.0,29.0,1396.0,1059.0,0.2413793103448276,0.0,1.0,tt_kelapagading
2026-07-27 09:00:00+00:00,Jl. HR Rasuna Said,Jabodetabek,16.0,21.0,273.0,208.0,0.2380952380952381,0.0,1.0,tt_kuningan
2026-07-27 09:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,23.0,38.0,624.0,377.0,0.3947368421052631,0.0,1.0,tt_sudirman
