station_id,name,obs_time_utc,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence,frc
tt_kebonjeruk,Tol Kebon Jeruk,2026-09-07T03:37:56+00:00,-6.195,106.77,28,36,1448,1126,0.2222,False,1.0,FRC2
tt_bekasi,Tol Jakarta-Cikampek,2026-09-07T03:37:56+00:00,-6.24,106.975,18,18,1072,1072,0.0,False,1.0,FRC4
tt_depok,Jl. Margonda (Depok),2026-09-07T03:37:56+00:00,-6.4,106.82,31,31,1778,1778,0.0,False,1.0,FRC2
tt_tangerang,Tol Jakarta-Merak,2026-09-07T03:37:56+00:00,-6.2,106.63,37,47,250,197,0.2128,False,1.0,FRC1
tt_bsd,BSD/Serpong,2026-09-07T03:37:56+00:00,-6.3,106.67,34,34,165,165,0.0,False,1.0,FRC3
tt_bogor,Tol Jagorawi (Bogor),2026-09-07T03:37:56+00:00,-6.5,106.84,34,45,871,658,0.2444,False,1.0,FRC1
tt_sudirman_s,Jl. Sudirman Selatan (Senayan),2026-09-07T03:37:56+00:00,-6.229,106.802,18,22,409,335,0.1818,False,0.992186,FRC2
tt_mtharyono,Jl. MT Haryono (Cawang),2026-09-07T03:37:56+00:00,-6.245,106.882,47,47,37,37,0.0,False,1.0,FRC1
tt_merdekabar,Jl. Medan Merdeka Barat,2026-09-07T03:37:56+00:00,-6.1755,106.82,27,27,68,68,0.0,False,1.0,FRC4
tt_majapahit,Jl. Majapahit,2026-09-07T03:37:56+00:00,-6.165,106.8175,30,40,406,304,0.25,False,1.0,FRC2
tt_daanmogot,Jl. Daan Mogot (Grogol),2026-09-07T03:37:56+00:00,-6.158,106.755,34,39,381,332,0.1282,False,1.0,FRC1
tt_rayabogor,Jl. Raya Bogor (Pasar Rebo),2026-09-07T03:37:56+00:00,-6.33,106.86,18,22,773,632,0.1818,False,0.95,FRC4
tt_kalimalang,Jl. Kalimalang (Bekasi),2026-09-07T03:37:56+00:00,-6.256,106.965,31,31,169,169,0.0,False,1.0,FRC4
tt_sultanagung,Jl. Sultan Agung (Bekasi),2026-09-07T03:37:56+00:00,-6.255,107.005,25,25,183,183,0.0,False,1.0,FRC3
tt_sparman,Jl. Letjen S. Parman (Slipi),2026-09-07T03:37:56+00:00,-6.185,106.795,19,24,197,156,0.2083,False,0.874134,FRC4
tt_lingkardalam,Tol Lingkar Dalam (Semanggi),2026-09-07T03:37:56+00:00,-6.225,106.81,23,23,69,69,0.0,False,1.0,FRC4
tt_hayamwuruk,Jl. Hayam Wuruk,2026-09-07T03:37:56+00:00,-6.145,106.815,17,24,770,545,0.2917,False,0.988118,FRC3
tt_gajahmada,Jl. Gajah Mada,2026-09-07T03:37:56+00:00,-6.152,106.81,21,21,476,476,0.0,False,1.0,FRC3
tt_kramatraya,Jl. Kramat Raya (Senen),2026-09-07T03:37:56+00:00,-6.182,106.845,27,27,125,125,0.0,False,1.0,FRC3
tt_salemba,Jl. Salemba Raya,2026-09-07T03:37:56+00:00,-6.185,106.85,29,34,1173,1001,0.1471,False,0.997015,FRC2
tt_otista,Jl. Otista Raya,2026-09-07T03:37:56+00:00,-6.235,106.86,20,24,539,449,0.1667,False,0.97,FRC4
tt_matraman,Jl. Matraman Raya,2026-09-07T03:37:56+00:00,-6.225,106.85,33,42,2152,1691,0.2143,False,1.0,FRC3
tt_pramuka,Jl. Pramuka,2026-09-07T03:37:56+00:00,-6.19,106.865,33,43,481,369,0.2326,False,1.0,FRC2
tt_pemuda,Jl. Pemuda,2026-09-07T03:37:56+00:00,-6.18,106.88,39,39,118,118,0.0,False,1.0,FRC4
tt_pluit,Jl. Pluit Raya,2026-09-07T03:37:56+00:00,-6.122,106.778,51,51,90,90,0.0,False,1.0,FRC2
tt_kapukmuara,Jl. Kapuk Muara,2026-09-07T03:37:56+00:00,-6.115,106.745,29,33,229,201,0.1212,False,1.0,FRC4
tt_martadinata,Jl. RE Martadinata,2026-09-07T03:37:56+00:00,-6.108,106.88,29,34,479,408,0.1471,False,0.991534,FRC1
tt_gunungsahari,Jl. Gunung Sahari,2026-09-07T03:37:56+00:00,-6.148,106.83,20,24,369,307,0.1667,False,1.0,FRC4
tt_manggadua,Jl. Mangga Dua Raya,2026-09-07T03:37:56+00:00,-6.142,106.822,35,35,241,241,0.0,False,1.0,FRC4
tt_cakungcilincing,Jl. Raya Cakung-Cilincing,2026-09-07T03:37:56+00:00,-6.148,106.93,22,29,1073,814,0.2414,False,0.950913,FRC3
tt_rayabekasi_cakung,Jl. Raya Bekasi (Cakung),2026-09-07T03:37:56+00:00,-6.172,106.945,28,36,499,388,0.2222,False,0.995753,FRC3
tt_perintis,Jl. Perintis Kemerdekaan,2026-09-07T03:37:56+00:00,-6.187,106.905,21,27,284,221,0.2222,False,0.917469,FRC4
tt_jatinegara,Jl. Jatinegara Timur,2026-09-07T03:37:56+00:00,-6.215,106.87,29,34,1173,1001,0.1471,False,0.997017,FRC2
tt_supomo,Jl. Prof. Supomo (Sahardjo),2026-09-07T03:37:56+00:00,-6.245,106.848,48,48,21,21,0.0,False,1.0,FRC1
tt_cijantung,Jl. Raya Cijantung,2026-09-07T03:37:56+00:00,-6.31,106.855,21,21,202,202,0.0,False,1.0,FRC4
tt_tambun,Jl. Raya Tambun (Bekasi),2026-09-07T03:37:56+00:00,-6.268,107.05,37,37,916,916,0.0,False,1.0,FRC4
tt_cibitung,Jl. Raya Cibitung,2026-09-07T03:37:56+00:00,-6.245,107.095,23,23,1201,1201,0.0,False,1.0,FRC4
tt_fatmawati,Jl. RS Fatmawati,2026-09-07T03:37:56+00:00,-6.292,106.797,35,35,17,17,0.0,False,1.0,FRC1
tt_lebakbulus,Jl. Lebak Bulus,2026-09-07T03:37:56+00:00,-6.305,106.785,22,32,836,575,0.3125,False,1.0,FRC3
tt_kemang,Jl. Kemang Raya,2026-09-07T03:37:56+00:00,-6.26,106.815,20,28,1183,845,0.2857,False,1.0,FRC3
tt_tendean,Jl. Kapt. Tendean,2026-09-07T03:37:56+00:00,-6.242,106.832,30,38,105,83,0.2105,False,1.0,FRC1
tt_mampang,Jl. Mampang Prapatan,2026-09-07T03:37:56+00:00,-6.248,106.828,30,35,1311,1123,0.1429,False,1.0,FRC3
tt_ragunan,Jl. Ragunan (TMII),2026-09-07T03:37:56+00:00,-6.295,106.815,20,28,1183,845,0.2857,False,1.0,FRC3
tt_lentengagung,Jl. Lenteng Agung,2026-09-07T03:37:56+00:00,-6.31,106.835,48,48,107,107,0.0,False,1.0,FRC2
tt_pondokindah,Jl. Pondok Indah,2026-09-07T03:37:56+00:00,-6.28,106.78,13,19,169,115,0.3158,False,0.99,FRC3
tt_purikembangan,Jl. Puri Kembangan,2026-09-07T03:37:56+00:00,-6.205,106.73,77,77,307,307,0.0,False,1.0,FRC0
tt_kedoya,Jl. Kedoya Raya,2026-09-07T03:37:56+00:00,-6.195,106.755,22,28,996,783,0.2143,False,0.983526,FRC2
tt_pospengumben,Jl. Raya Pos Pengumben,2026-09-07T03:37:56+00:00,-6.225,106.73,28,28,941,941,0.0,False,1.0,FRC3
tt_karawaci,Jl. Karawaci (Tangerang),2026-09-07T03:37:56+00:00,-6.22,106.61,22,31,418,297,0.2903,False,1.0,FRC2
tt_cipondoh,Jl. Cipondoh (Tangerang),2026-09-07T03:37:56+00:00,-6.195,106.68,23,34,1044,706,0.3235,False,1.0,FRC2
