seed,corridor,horizon,fixed_mae,adaptive_mae,improvement_pct
789,tt_gatsu,1,7.369382229166667,7.3130243125000005,0.764757681364552
789,tt_gatsu,3,8.436510541666665,8.904334020833334,-5.5452248516274345
789,tt_gatsu,6,7.776093520833334,9.305971645833333,-19.674121985560273
789,tt_grogol,1,2.4894125625,3.0664083958333332,-23.177991548089697
789,tt_grogol,3,3.6524898958333334,4.0465196458333335,-10.787976455444793
789,tt_grogol,6,4.3308215,4.598489020833333,-6.180525353754091
789,tt_kebonjeruk,1,2.7708039375,3.310818916666667,-19.489469170233072
789,tt_kebonjeruk,3,4.695428375,4.640401083333333,1.1719333630910036
789,tt_kebonjeruk,6,6.421259,5.133057333333333,20.061512339973618
789,tt_kelapagading,1,2.0713609375,2.736280125,-32.10059509486138
789,tt_kelapagading,3,3.6726070624999996,2.8140638125,23.376942738207774
789,tt_kelapagading,6,5.054330041666667,2.870418583333333,43.208722824384225
789,tt_kuningan,1,2.1769173125,3.0203788958333333,-38.74568769746661
789,tt_kuningan,3,2.5939382916666665,2.6470967499999998,-2.0493339608005
789,tt_kuningan,6,2.7326564374999998,3.4394229791666664,-25.86371751559298
789,tt_sudirman,1,4.487199708333333,5.280984354166667,-17.68997810280584
789,tt_sudirman,3,6.8078351875,6.836548979166666,-0.42177565813266576
789,tt_sudirman,6,9.0689804375,8.090142729166667,10.793249749286755
789,tt_tangerang,1,4.761647854166667,4.892388020833333,-2.7456916317795703
789,tt_tangerang,3,5.939950854166667,6.169691666666666,-3.86772244653917
789,tt_tangerang,6,5.725774145833334,6.451915208333332,-12.681971799890388
789,tt_tbsimatupang,1,12.782703249999999,13.541547979166666,-5.936496485331978
789,tt_tbsimatupang,3,16.557099666666666,16.872406770833333,-1.904361938470748
789,tt_tbsimatupang,6,16.358360729166666,17.920173583333334,-9.547489996243836
789,tt_thamrin,1,2.6257662083333333,2.7940460624999996,-6.408790456385663
789,tt_thamrin,3,3.0655455208333335,2.7314420416666665,10.898663121983093
789,tt_thamrin,6,3.9877691666666664,3.1145465416666664,21.89752186007089
2026,tt_bekasi,1,1.6521745833333332,1.443796875,12.612329861225813
2026,tt_bekasi,3,1.84935225,1.74565953125,5.606975023281793
2026,tt_bekasi,6,2.3108393958333333,2.6129932083333336,-13.075500315807876
2026,tt_bogor,1,3.7278322916666666,3.738463083333333,-0.2851735495298655
2026,tt_bogor,3,4.372675854166666,4.480659,-2.4694980701676768
2026,tt_bogor,6,5.274273479166666,5.8334330833333325,-10.601642223812279
2026,tt_bsd,1,2.517171458333333,2.071099520833333,17.72115824781171
2026,tt_bsd,3,2.731192645833333,2.060689083333333,24.549845047470754
2026,tt_bsd,6,3.4599244375,1.9957862708333332,42.31705614139346
2026,tt_cawang,1,6.1982350625,6.475337375,-4.470664789344609
2026,tt_cawang,3,7.4574150625,8.191092583333333,-9.838228322876496
2026,tt_cawang,6,8.800911375,9.133206895833334,-3.775694432934044
2026,tt_depok,1,2.4712718125,2.1434210833333336,13.266477912642252
2026,tt_depok,3,2.4718751458333332,2.3015104375,6.892124330005296
2026,tt_depok,6,2.8182724166666664,2.2203645208333334,21.21540459671082
2026,tt_gatsu,1,7.3359474166666665,7.426681104166666,-1.2368366667113764
2026,tt_gatsu,3,8.330625291666665,8.279304541666667,0.6160491944264499
2026,tt_gatsu,6,7.915661208333334,8.154042020833334,-3.011508530064942
2026,tt_grogol,1,2.5414258541666666,2.6590048958333337,-4.62649899755668
2026,tt_grogol,3,3.297427833333334,3.1951023125,3.1031921244473164
2026,tt_grogol,6,4.195506666666668,3.577136229166667,14.73887391034219
2026,tt_kebonjeruk,1,2.694824270833333,2.1937020416666666,18.59572939840349
2026,tt_kebonjeruk,3,4.3788451041666665,3.4452532083333334,21.320505147464083
2026,tt_kebonjeruk,6,6.400123791666666,4.698612395833333,26.58560132928679
2026,tt_kelapagading,1,2.568139416666667,1.8477794166666666,28.04987904180826
2026,tt_kelapagading,3,3.5384793958333334,2.660276645833333,24.818648118570668
